RowID,CollectionDate,Site,Speaker,Utterance,Content_Focus,Media_Production,Inclusive_Disposition,Social_Disposition
1,20170422,NYSCI,Yvonne,Oh hi Christina hi Dennis,0,0,0,0
2,20170422,SAG,Denis,Hello,0,0,0,0
3,20170422,SAG,Ateamate,Hi Dennis,0,0,0,0
4,20170422,SAG,Denis,Hi,0,0,0,0
5,20170422,SAG,Ateamate,Okay Denis is trying to move to a place where he can be visible he a place where you can see him well,0,0,0,0
6,20170422,NYSCI,Yvonne,And Rachel is here as well hi Rachel!,0,0,0,0
7,20170422,SAG,Denis,Hi Atemate are you able to see me right now?,0,0,0,0
8,20170422,SAG,Ateamate,Yeah,0,0,0,0
9,20170422,SAG,Denis,oh hi Ashley,0,0,0,0
10,20170422,NYSCI,Yvonne,Okay now that more people are here let's all go around so I'm Yvonne  we're here at the New York Hall of Science and we work on producing editing and sort of writing all videos about science topics that we're interested in here,0,0,0,0
11,20170422,NYSCI,Nancy,Hi I'm Nancy and I'm for explainer TV at the New York Hall of Science,0,0,0,0
12,20170422,NYSCI,Gabriella,And I'm Gabriella but you can call me Gabby and I'm also an associate producer with these lovely ladies here at the New York Hall of Science,0,0,0,0
13,20170422,SAG,Ateamate,Okay I'm Atemate a student leader with St. Aloysius Gonzaga I'm a graduate from high school so I've been uh Yvonne and I will be the facilitators of the meeting and we're happy to meet you all,0,0,0,1
14,20170422,NYSCI,Gabriella,I just heard music playing and I recognized the song and whoever was listening to it,0,0,0,0
15,20170422,NYSCI,Yvonne,Sorry,0,0,0,0
16,20170422,IC4,Danielle,That's okay keep going yeah I don't know who played that song but that was cool,0,0,0,0
17,20170422,NYSCI,Yvonne,Okay so Abraham would you like to go next?,0,0,1,0
18,20170422,SAG,Denis,Okay my name is Denis Otello and I'm and for now I'm one of the leaders of STEM,0,0,0,0
19,20170422,NYSCI,Gabriella,Nice to meet you,0,0,0,1
20,20170422,NYSCI,Yvonne,Yeah thanks for introducing yourself um Ashley do you wanna say something,0,0,1,1
21,20170422,MPESA,Ashley,Yeah my name is Ashley you can hear you?,0,0,0,0
22,20170422,SAG,Ateamate,Yes we can hear you,0,0,0,0
23,20170422,NYSCI,Gabriella,You're coming in loud and clear,0,0,0,0
24,20170422,MPESA,Ashley,So I what?,0,0,0,0
25,20170422,NYSCI,Gabriella,Oh no just go ahead,0,0,0,0
26,20170422,MPESA,Ashley,Okay my name is Ashley from Mpesa Academy in Kenya yeah do you need to know more about what I do? Okay so we have a club STEM we meet every Thursdays for like two hours then we divide ourselves into groups sometimes we'll do media sometimes we'll deal with robotics most people like robotics and we use iMovie during media sessions,0,1,0,0
27,20170422,SAG,Denis,Wow,0,0,0,0
28,20170422,NYSCI,Yvonne,So just sort of a general overview whenever we're talking we should definitely make sure our mic is unmuted and whenever we're not talking just try to mute your mics so there's no background noise that would sort of overlap anybody who is currently talking,0,0,0,0
29,20170422,SAG,Denis,Okay,0,0,0,0
30,20170422,SAG,Ateamate,Okay I'll take this opportunity to welcome everybody to this meeting  the meeting is all about sharing interacting and the idea is expressing ideas in different ways such as videos  asking questions  then people reacting so for I don't know if anybody of you here has a video to share. Maybe.. When I look at the agenda I have Denis who has a video to share so I think we'll take it as first it will be I mean it will start us off the Denis video so Denis if you'll talk about your video first before it's played what is it all about?,0,0,1,0
31,20170422,NYSCI,Yvonne,Before we do that sorry we're welcoming one more person here at the New York Hall of Science,0,0,1,0
32,20170422,SAG,Ateamate,Oh,0,0,0,0
33,20170422,NYSCI,Alicia,Hello my name is Elisia I'm also an associate producer I'm a sophomore in High School. So yeah I'm very excited,0,0,0,0
35,20170422,NYSCI,Yvonne,Okay sorry for the interruption Denis go ahead,0,0,0,0
