,Utterance,Content_Focus,Media_Production,Inclusive_Disposition,Social_Disposition,Collaborative_Disposition,Cross-Cultural_Disposition,Info_Sharing,Participatory_Teaching,Feedback,Idea_Introduction,Knowledge_Acquisition,Curiosity,Self-Awareness,Task_Orientation,Technical_Difficulty,Language_Issues
1,there are other people.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"So I don't know maybe... We are still waiting for some people, thinking can just start right now.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Yeah. I think... According to the sign up sheet, we're only waiting now for Kerry.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Meanwhile. Meanwhile I'll prefer if maybe student from Spring Valley. That's Tony, Angel, and Daniel to sit in a place where they can be direct to the camera so that we can see them, because I can see they are a bit on one side. Wow. I can see Daniel haha. Wow. That's cool. Thank you. So maybe Seung Bok do you have anything to say maybe before you start?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"No I think... umm... Yeah I think we can get started umm... Yeah. It's one or one thirty five our time, so it's five minute, five minutes past, so I think we can get started. So, all yours Denis.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Thank you thank you there . Seung Bok and Danielle. So I would like to welcome everyone for getting in and I'm really pleased and thankful for your time. Somehow in Kenya it's midnight but I can see someone like Salome is still spending some time just to share with us something. Salome, Kudos to you. Uhh maybe before we start, I would like to say some of the few, like guidelines to help us uhh run the meetup smoothly. Like I can see we have so many people. Then in some areas like uh Spring Valley and uh South Fayette we have many people in one room, so just in case you have other device with you, you can just turn it off so that you can use one device the way you are doing. Then maybe other people, we normally have some background noise, like uh, yeah some. So in case uh you're not talking it is always good to mute your microphone. So that could prevent that background disrupting everyone. Then on the other side there is also a chat window, where in case there is any other problem or you have any question, would like to ask while someone is presenting his or her project, always feel free OK.  I really appreciate your contribution. So maybe uhh I would like to... Though I know some people, but because of other new people like Salome and some people from South Fayette, I still don't know most of you. Then other student also don't know some of you, so maybe before we start I would like everyone to introduce him or herself, maybe tell us your name your school and in case you have any project just state the name of the project then we will come to it later okay.  So, to me, my name's Denis I'm from Saint Aloysius Gonzaga. I'm a student leader and also a facilitator. Thank you. So maybe anyone from any schools just feel free to introduce yourself so that others can know you.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,"I'm Salome Wangari from Mpesa Foundation Academy and I'm from Kenya. Uhh the project that I'm currently working on is called (project name). Pardon, the project is? It's called (project name).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Oh. What is it, what is it about.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"uhh the project is about helping efficiency in terms of... You see in Kenya, we have a problem in serving food, for example in big schools already have a mission of around 2000 student.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,OK. So how far are have you gone with your project?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
